Investigation.Type,Accident.Number,Event.Date,Location,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Day_Of_Week,State_Code,new_lats,new_longs,Year,Month,Large_Jets,Small_Jets,Major_Injuries
Accident,GAA16CA388,2016-07-29,"Island Pond, VT",444724N,0714935W,5B1,JOHN H BOYLAN STATE (ISLAND PO,Non-Fatal,Substantial,Canadian Light Acft Sales &Svc,BUSHCADDY EXPLORER,No,1.0,Reciprocating,091,Personal,MORGAN SPORT AVIATION LLC,0.0,0.0,0.0,2.0,VMC,Friday,VT,44.79,-71.82638888888889,2016.0,7.0,Other,Other,0.0
Accident,WPR16FA153,2016-07-29,"McKinleyville, CA",041138N,0124037W,,,Fatal,Destroyed,Piper,PA-31T,No,2.0,Turbo Prop,135,Unknown,Cal-Ore Life Flight,4.0,0.0,0.0,0.0,IMC,Friday,CA,4.193888888888889,-12.676944444444445,2016.0,7.0,Other,Other,4.0
Accident,GAA16CA400,2016-07-29,"MORRISTOWN, NJ",401755N,0743116W,MMU,MORRISTOWN MUNI,Non-Fatal,Substantial,Textron,172,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Friday,NJ,40.29861111111111,-74.52111111111111,2016.0,7.0,Other,Textron,0.0
Accident,GAA16CA404,2016-07-29,"Wickenburg, AZ",335816N,1124740W,E25,WICKENBURG MUNI,Non-Fatal,Substantial,Textron,177,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Friday,AZ,33.971111111111114,-112.79444444444444,2016.0,7.0,Other,Textron,0.0
Accident,GAA16CA401,2016-07-30,"Frankfort, MI",443721N,0861152W,FKS,FRANKFORT DOW MEMORIAL FIELD,Non-Fatal,Substantial,Aerostar,FESTIVAL R40S,No,1.0,Reciprocating,091,Personal,Unknown,0.0,2.0,0.0,0.0,VMC,Saturday,MI,44.6225,-86.19777777777779,2016.0,7.0,Other,Other,2.0
Accident,CEN16LA296,2016-07-30,"Manitowoc, WI",044747N,0874057W,MTW,Manitowoc County Airport,Non-Fatal,Substantial,Ryan,NAVION B,No,1.0,Reciprocating,091,Personal,Unknown,0.0,1.0,0.0,1.0,VMC,Saturday,WI,4.796388888888889,-87.6825,2016.0,7.0,Other,Other,1.0
Accident,CEN16LA297,2016-07-31,"Newark, IL",413457N,0883232W,,,Non-Fatal,Substantial,Textron,172F,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Sunday,IL,41.5825,-88.54222222222222,2016.0,7.0,Other,Textron,0.0
Accident,GAA16CA406,2016-07-31,"Kalispell, MT",048447N,1131440W,8U2,SCHAFER /USFS/,Non-Fatal,Substantial,Textron,177,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,3.0,VMC,Sunday,MT,5.413055555555556,-113.24444444444444,2016.0,7.0,Other,Textron,0.0
Accident,ANC16CA053,2016-07-31,"Sleetmute, AK",613942N,0157843W,SLQ,SLEETMUTE,Non-Fatal,Substantial,Textron,U206G,No,1.0,Reciprocating,091,Business,Unknown,0.0,0.0,0.0,5.0,VMC,Sunday,AK,61.66166666666666,-16.311944444444446,2016.0,7.0,Other,Textron,0.0
Accident,GAA16CA411,2016-08-01,"Blythe, CA",333755N,0114431W,BLH,BLYTHE,Non-Fatal,Substantial,Textron,F33,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,3.0,VMC,Monday,CA,33.63194444444444,-11.741944444444444,2016.0,8.0,Other,Textron,0.0
